Race,PartName,Slot,Variant,Tier,Hand,PrimaryBone,SizeWxHxD_cm,MeshyPrompt,NegativePrompt
Barbarian,BRB_weapon_spear,Spear,,,right,,77×3×7 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian long spear. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 77 cm wide × 3 cm tall × 7 cm deep. Placement: right hand grip, vertical. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_weapon_axe_A,Axe,A,light/cloth tier,right,,33×3×13 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian one-handed war axe. light/cloth tier variant A. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 33 cm wide × 3 cm tall × 13 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_weapon_sword_B,Sword,B,light/cloth tier,right,,46×4×11 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian one-handed sword. light/cloth tier variant B. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 46 cm wide × 4 cm tall × 11 cm deep. Placement: right hand grip, blade pointing up. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_weapon_hammer_A,Hammer,A,light/cloth tier,right,,29×5×13 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian two-handed war hammer. light/cloth tier variant A. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 29 cm wide × 5 cm tall × 13 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_weapon_Dagger,Dagger,,,right,,33×3×6 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian dagger / short blade. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 33 cm wide × 3 cm tall × 6 cm deep. Placement: right hand reverse-grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_weapon_axe_B,Axe,B,light/cloth tier,right,,43×4×20 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian one-handed war axe. light/cloth tier variant B. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 43 cm wide × 4 cm tall × 20 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_weapon_hammer_B,Hammer,B,light/cloth tier,right,,38×7×14 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian two-handed war hammer. light/cloth tier variant B. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 38 cm wide × 7 cm tall × 14 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_weapon_axe_C,Axe,C,medium/leather tier,right,,36×4×20 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian one-handed war axe. medium/leather tier variant C. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 36 cm wide × 4 cm tall × 20 cm deep. Placement: right hand grip. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_Xtra_quiver,Quiver,,,,,11×7×37 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian arrow quiver. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 11 cm wide × 7 cm tall × 37 cm deep. Placement: strapped to back, over shoulder. Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_horse_Seat,Saddle,,,,Bip001 Spine,24×15×21 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian riding saddle. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 24 cm wide × 15 cm tall × 21 cm deep. Placement: attaches to the Bip001 Spine bone (on top of mount creature). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_body_F,Body,F,heavy/plate tier,,Bip001 Spine001,40×19×54 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian chest armor (cuirass / tunic / robe top). heavy/plate tier variant F. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 40 cm wide × 19 cm tall × 54 cm deep. Placement: attaches to the Bip001 Spine001 bone (covers shoulders down to waist). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_head_I,Head,I,heavy/plate tier,,Bip001 Head001,10×18×18 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian helmet/head piece. heavy/plate tier variant I. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 10 cm wide × 18 cm tall × 18 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_head_J,Head,J,heavy/plate tier,,Bip001 Head001,10×14×18 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian helmet/head piece. heavy/plate tier variant J. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 10 cm wide × 14 cm tall × 18 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_head_C,Head,C,medium/leather tier,,Bip001 Head001,10×14×15 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian helmet/head piece. medium/leather tier variant C. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 10 cm wide × 14 cm tall × 15 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_body_A,Body,A,light/cloth tier,,Bip001 Spine001,43×15×42 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian chest armor (cuirass / tunic / robe top). light/cloth tier variant A. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 43 cm wide × 15 cm tall × 42 cm deep. Placement: attaches to the Bip001 Spine001 bone (covers shoulders down to waist). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_body_B,Body,B,light/cloth tier,,Bip001 Spine001,43×15×42 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian chest armor (cuirass / tunic / robe top). light/cloth tier variant B. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 43 cm wide × 15 cm tall × 42 cm deep. Placement: attaches to the Bip001 Spine001 bone (covers shoulders down to waist). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_body_E,Body,E,medium/leather tier,,Bip001 Spine001,43×16×42 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian chest armor (cuirass / tunic / robe top). medium/leather tier variant E. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 43 cm wide × 16 cm tall × 42 cm deep. Placement: attaches to the Bip001 Spine001 bone (covers shoulders down to waist). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_head_B,Head,B,light/cloth tier,,Bip001 Head001,7×18×16 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian helmet/head piece. light/cloth tier variant B. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 7 cm wide × 18 cm tall × 16 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_body_D,Body,D,medium/leather tier,,Bip001 Spine001,43×14×42 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian chest armor (cuirass / tunic / robe top). medium/leather tier variant D. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 43 cm wide × 14 cm tall × 42 cm deep. Placement: attaches to the Bip001 Spine001 bone (covers shoulders down to waist). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_head_A,Head,A,light/cloth tier,,Bip001 Head001,7×11×12 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian helmet/head piece. light/cloth tier variant A. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 7 cm wide × 11 cm tall × 12 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_shoulderpads_B,Shoulders,B,light/cloth tier,,Bip001 R Clavicle001,29×18×11 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian pauldron / shoulder pad pair. light/cloth tier variant B. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 29 cm wide × 18 cm tall × 11 cm deep. Placement: attaches to the Bip001 R Clavicle001 bone (sits on top of the shoulders). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_body_G,Body,G,heavy/plate tier,,Bip001 Spine001,43×16×42 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian chest armor (cuirass / tunic / robe top). heavy/plate tier variant G. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 43 cm wide × 16 cm tall × 42 cm deep. Placement: attaches to the Bip001 Spine001 bone (covers shoulders down to waist). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_head_D,Head,D,medium/leather tier,,Bip001 Head001,8×13×14 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian helmet/head piece. medium/leather tier variant D. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 8 cm wide × 13 cm tall × 14 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_head_F,Head,F,heavy/plate tier,,Bip001 Head001,13×13×16 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian helmet/head piece. heavy/plate tier variant F. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 13 cm wide × 13 cm tall × 16 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_head_H,Head,H,heavy/plate tier,,Bip001 Head001,17×18×19 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian helmet/head piece. heavy/plate tier variant H. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 17 cm wide × 18 cm tall × 19 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_shoulderpads_C,Shoulders,C,medium/leather tier,,Bip001 R Clavicle001,31×19×17 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian pauldron / shoulder pad pair. medium/leather tier variant C. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 31 cm wide × 19 cm tall × 17 cm deep. Placement: attaches to the Bip001 R Clavicle001 bone (sits on top of the shoulders). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_shoulderpads_A,Shoulders,A,light/cloth tier,,Bip001 L Clavicle001,16×19×15 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian pauldron / shoulder pad pair. light/cloth tier variant A. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 16 cm wide × 19 cm tall × 15 cm deep. Placement: attaches to the Bip001 L Clavicle001 bone (sits on top of the shoulders). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_head_E,Head,E,medium/leather tier,,Bip001 Head001,17×13×15 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian helmet/head piece. medium/leather tier variant E. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 17 cm wide × 13 cm tall × 15 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_head_G,Head,G,heavy/plate tier,,Bip001 Head001,19×14×16 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian helmet/head piece. heavy/plate tier variant G. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 19 cm wide × 14 cm tall × 16 cm deep. Placement: attaches to the Bip001 Head001 bone (rests on the skull, fits over hair). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_body_C,Body,C,medium/leather tier,,Bip001 Spine001,43×14×42 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian chest armor (cuirass / tunic / robe top). medium/leather tier variant C. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 43 cm wide × 14 cm tall × 42 cm deep. Placement: attaches to the Bip001 Spine001 bone (covers shoulders down to waist). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_body_H,Body,H,heavy/plate tier,,Bip001 Spine001,43×16×42 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian chest armor (cuirass / tunic / robe top). heavy/plate tier variant H. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 43 cm wide × 16 cm tall × 42 cm deep. Placement: attaches to the Bip001 Spine001 bone (covers shoulders down to waist). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
Barbarian,BRB_arms_A,Arms,A,light/cloth tier,,Bip001 R Hand001,60×8×16 cm (W×H×D),"A low-poly stylized 3D model: savage frost-clan barbarian arm guards / bracers / sleeves. light/cloth tier variant A. Materials/feel: fur, hide, bone, rough iron. Color palette: rust red, bone white, dark steel. Style: crude tribal, blood-soaked, hand-painted toon shading, clean silhouette, suitable for an RTS unit at ~2m tall. Approximate size: 60 cm wide × 8 cm tall × 16 cm deep. Placement: attaches to the Bip001 R Hand001 bone (wrist to elbow on both arms). Single mesh, T-pose neutral, no skeleton, baked diffuse texture only.","photoreal, hyperreal, realistic skin pores, no humans, no faces in armor, no text, no logos, no watermarks, no excess geometry, no PBR maps"
